,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
11,12,60,3,85.0,11924,1,0,3,0,4,0,16,2,2,0,5,9,5,2005,2006,3,1,14,15,3,286.0,0,4,2,0,3,3,2,998,5,0,177,1175,0,0,1,4,1182,1142,0,2324,1,0,3,0,4,1,0,11,5,2,3,2005.0,0,3,736,4,4,2,147,21,0,0,0,0,7,2006,6,5,345000
13,14,20,3,91.0,10652,1,0,3,0,4,0,5,2,2,0,2,7,5,2006,2007,1,1,12,13,3,306.0,2,4,2,2,3,0,5,0,5,0,1494,1494,0,0,1,4,1494,0,0,1494,0,0,2,0,3,1,2,7,5,1,1,2006.0,1,3,840,4,4,2,160,33,0,0,0,0,8,2007,6,5,279500
15,16,45,4,51.0,6120,1,3,3,0,0,0,3,2,2,0,1,7,8,1929,2001,1,1,13,14,2,0.0,3,4,0,3,3,3,5,0,5,0,832,832,0,0,1,0,854,0,0,854,0,0,1,0,2,1,3,5,5,0,5,1991.0,2,2,576,4,4,2,48,112,0,0,0,0,7,2007,8,4,132000
17,18,90,3,72.0,10791,1,3,3,0,4,0,19,2,2,2,2,4,5,1967,1967,1,1,8,8,2,0.0,3,4,3,4,4,4,6,0,6,0,0,0,0,4,1,4,1296,0,0,1296,0,0,2,0,2,2,3,6,5,0,4,1967.0,2,2,516,4,4,2,0,0,0,0,0,500,10,2006,8,4,90000
18,19,20,3,66.0,13695,1,3,3,0,4,0,20,5,2,0,2,5,5,2004,2004,1,1,12,13,2,0.0,3,4,2,3,3,3,2,646,5,0,468,1114,0,0,1,4,1114,0,0,1114,1,0,1,1,3,1,2,6,5,0,5,2004.0,2,2,576,4,4,2,0,102,0,0,0,0,6,2008,8,4,159000
19,20,20,3,70.0,7560,1,3,3,0,4,0,12,2,2,0,2,5,6,1958,1965,3,1,3,10,2,0.0,3,4,1,3,3,3,3,504,5,0,525,1029,0,4,1,4,1339,0,0,1339,0,0,1,0,3,1,3,6,2,0,1,1958.0,2,1,294,4,4,2,0,0,0,0,0,0,5,2009,0,0,139000
20,21,60,3,101.0,14215,1,0,3,0,0,0,16,2,2,0,5,8,5,2005,2006,1,1,12,13,1,380.0,2,4,2,0,3,0,5,0,5,0,1158,1158,0,0,1,4,1158,1218,0,2376,0,0,3,1,4,1,2,9,5,1,3,2005.0,1,3,853,4,4,2,240,154,0,0,0,0,11,2006,6,5,325300
21,22,45,4,57.0,7449,1,3,0,0,4,0,9,2,2,0,1,7,7,1930,1950,1,1,13,14,2,0.0,3,4,2,3,3,3,5,0,5,0,637,637,0,0,1,1,1108,0,0,1108,0,0,1,0,3,1,2,6,5,1,1,1930.0,2,1,280,4,4,0,0,0,205,0,0,0,6,2007,8,4,139400
22,23,20,3,75.0,9742,1,3,3,0,4,0,5,2,2,0,2,8,5,2002,2002,3,1,12,13,1,281.0,2,4,2,2,3,3,5,0,5,0,1777,1777,0,0,1,4,1795,0,0,1795,0,0,2,0,3,1,2,7,5,1,1,2002.0,1,2,534,4,4,2,171,159,0,0,0,0,9,2008,8,4,230000
23,24,120,4,44.0,4224,1,3,3,0,4,0,10,2,2,4,2,5,7,1976,1976,1,1,5,5,2,0.0,3,4,2,2,3,3,2,840,5,0,200,1040,0,4,1,4,1060,0,0,1060,1,0,1,0,3,1,3,6,5,1,1,1976.0,2,2,572,4,4,2,100,110,0,0,0,0,6,2007,8,4,129900
25,26,20,3,110.0,14230,1,3,3,0,0,0,16,2,2,0,2,8,5,2007,2007,1,1,12,13,3,640.0,2,4,2,2,3,3,5,0,5,0,1566,1566,0,0,1,4,1600,0,0,1600,0,0,2,0,3,1,2,7,5,1,1,2007.0,1,3,890,4,4,2,0,56,0,0,0,0,7,2009,8,4,256300
26,27,20,3,60.0,7200,1,3,3,0,0,0,12,2,2,0,2,5,7,1951,2000,1,1,13,14,2,0.0,3,4,1,3,3,2,1,234,4,486,180,900,0,4,1,4,900,0,0,900,0,1,1,0,3,1,2,5,5,0,5,2005.0,2,2,576,4,4,2,222,32,0,0,0,0,5,2010,8,4,134800
27,28,20,3,98.0,11478,1,3,3,0,4,0,16,2,2,0,2,8,5,2007,2008,1,1,12,13,3,200.0,2,4,2,0,3,3,2,1218,5,0,486,1704,0,0,1,4,1704,0,0,1704,1,0,2,0,3,1,2,7,5,1,1,2008.0,1,3,772,4,4,2,0,50,0,0,0,0,5,2010,8,4,306000
28,29,20,3,47.0,16321,1,0,3,0,1,0,12,2,2,0,2,5,6,1957,1997,1,1,8,8,2,0.0,3,4,1,3,3,1,1,1277,5,0,207,1484,0,4,1,4,1600,0,0,1600,1,0,1,0,2,1,3,6,5,2,1,1957.0,1,1,319,4,4,2,288,258,0,0,0,0,12,2006,8,4,207500
29,30,30,4,60.0,6324,1,0,3,0,4,0,3,1,5,0,2,4,6,1927,1950,1,1,8,8,2,0.0,3,4,0,3,3,3,5,0,5,0,520,520,0,1,0,4,520,0,0,520,0,0,1,0,1,1,1,4,5,0,5,1920.0,2,1,240,1,4,2,49,0,87,0,0,0,5,2008,8,4,68500
30,31,70,0,50.0,8500,1,3,3,0,4,0,9,1,2,0,5,4,4,1920,1950,2,1,3,3,2,0.0,3,1,0,3,3,3,5,0,5,0,649,649,0,4,0,4,649,668,0,1317,0,0,1,0,3,1,3,6,5,0,5,1920.0,2,1,250,4,1,0,0,54,172,0,0,0,7,2008,8,4,40000
32,33,20,3,85.0,11049,1,3,3,0,0,0,5,2,2,0,2,8,5,2007,2007,1,1,12,13,2,0.0,2,4,2,0,3,0,5,0,5,0,1234,1234,0,0,1,4,1234,0,0,1234,0,0,2,0,3,1,2,7,5,0,1,2007.0,1,2,484,4,4,2,0,30,0,0,0,0,1,2008,8,4,179900
33,34,20,3,70.0,10552,1,0,3,0,4,0,12,2,2,0,2,5,5,1959,1959,3,1,3,3,2,0.0,3,4,1,3,3,3,4,1018,5,0,380,1398,0,2,1,4,1700,0,0,1700,0,1,1,1,4,1,2,6,5,1,1,1959.0,1,2,447,4,4,2,0,38,0,0,0,0,4,2010,8,4,165500
34,35,120,3,60.0,7313,1,3,3,0,4,0,16,2,2,4,2,9,5,2005,2005,3,1,8,8,1,246.0,0,4,2,0,3,3,2,1153,5,0,408,1561,0,0,1,4,1561,0,0,1561,1,0,2,0,2,1,0,6,5,1,1,2005.0,0,2,556,4,4,2,203,47,0,0,0,0,8,2007,8,4,277500
35,36,60,3,108.0,13418,1,3,3,0,4,0,16,2,2,0,5,8,5,2004,2005,1,1,12,13,3,132.0,2,4,2,0,3,0,5,0,5,0,1117,1117,0,0,1,4,1132,1320,0,2452,0,0,3,1,4,1,2,9,5,1,3,2004.0,0,3,691,4,4,2,113,32,0,0,0,0,9,2006,8,4,309000
36,37,20,3,112.0,10859,1,3,3,0,0,0,5,2,2,0,2,5,5,1994,1995,1,1,12,13,2,0.0,3,4,2,2,3,3,5,0,5,0,1097,1097,0,0,1,4,1097,0,0,1097,0,0,1,1,3,1,3,6,5,0,1,1995.0,2,2,672,4,4,2,392,64,0,0,0,0,6,2009,8,4,145000
37,38,20,3,74.0,8532,1,3,3,0,4,0,12,2,2,0,2,5,6,1954,1990,3,1,13,14,1,650.0,3,4,1,3,3,3,4,1213,5,0,84,1297,0,2,1,4,1297,0,0,1297,0,1,1,0,3,1,3,5,5,1,1,1954.0,0,2,498,4,4,2,0,0,0,0,0,0,10,2009,8,4,153000
38,39,20,3,68.0,7922,1,3,3,0,4,0,12,2,2,0,2,5,7,1953,2007,1,1,12,13,2,0.0,3,2,1,3,3,3,2,731,5,0,326,1057,0,4,1,4,1057,0,0,1057,1,0,1,0,3,1,2,5,5,0,5,1953.0,2,1,246,4,4,2,0,52,0,0,0,0,1,2010,8,0,109000
39,40,90,3,65.0,6040,1,3,3,0,4,0,7,2,2,2,2,4,5,1955,1955,1,1,0,10,2,0.0,3,4,2,4,4,4,6,0,6,0,0,0,0,4,0,2,1152,0,0,1152,0,0,2,0,2,2,1,6,5,0,6,1978.5430346051464,3,0,0,5,5,0,0,0,0,0,0,0,6,2008,8,1,82000
40,41,20,3,84.0,8658,1,3,3,0,4,0,12,2,2,0,2,6,5,1965,1965,1,1,13,14,1,101.0,3,4,1,3,3,3,4,643,5,0,445,1088,0,0,1,4,1324,0,0,1324,0,0,2,0,3,1,3,6,5,1,1,1965.0,1,2,440,4,4,2,0,138,0,0,0,0,12,2006,8,0,160000
41,42,20,3,115.0,16905,1,3,3,0,4,0,23,2,2,0,2,5,6,1959,1959,1,1,12,13,2,0.0,3,2,1,3,3,1,1,967,5,0,383,1350,0,2,1,4,1328,0,0,1328,0,1,1,1,2,1,3,5,5,2,1,1959.0,1,1,308,4,4,1,0,104,0,0,0,0,7,2007,8,4,170000
44,45,20,3,70.0,7945,1,3,3,0,4,0,12,2,2,0,2,5,6,1959,1959,1,1,3,14,2,0.0,3,4,1,3,3,3,0,179,1,506,465,1150,0,0,1,0,1150,0,0,1150,1,0,1,0,3,1,3,6,5,0,1,1959.0,1,1,300,4,4,2,0,0,0,0,0,0,5,2006,8,4,141000
45,46,120,3,61.0,7658,1,3,3,0,4,0,16,2,2,4,2,9,5,2005,2005,3,1,8,8,1,412.0,0,4,2,0,3,3,2,456,5,0,1296,1752,0,0,1,4,1752,0,0,1752,1,0,2,0,2,1,0,6,5,1,1,2005.0,1,2,576,4,4,2,196,82,0,0,0,0,2,2010,8,4,319900
46,47,50,3,48.0,12822,1,0,3,0,1,0,11,2,2,0,0,7,5,2003,2003,1,1,12,13,2,0.0,2,4,2,0,3,3,2,1351,5,0,83,1434,0,0,1,4,1518,631,0,2149,1,0,1,1,1,1,2,6,5,1,1,2003.0,1,2,670,4,4,2,168,43,0,0,198,0,8,2009,8,0,239686
47,48,20,1,84.0,11096,1,3,3,0,4,0,21,2,2,0,2,8,5,2006,2006,1,1,12,13,2,0.0,2,4,2,2,3,0,2,24,5,0,1632,1656,0,0,1,4,1656,0,0,1656,0,0,2,0,3,1,2,7,5,0,1,2006.0,1,3,826,4,4,2,0,146,0,0,0,0,7,2007,8,4,249700
48,49,190,4,33.0,4456,1,3,3,0,4,0,17,2,2,1,5,4,5,1920,2008,1,1,8,8,2,0.0,3,4,0,3,3,3,5,0,5,0,736,736,0,2,1,4,736,716,0,1452,0,0,2,0,2,3,3,8,5,0,6,1978.5430346051464,3,0,0,5,5,0,0,0,102,0,0,0,6,2009,6,5,113000
49,50,20,3,66.0,7742,1,3,3,0,4,0,19,2,2,0,2,5,7,1966,1966,1,1,6,6,2,0.0,3,4,1,3,3,3,1,763,5,0,192,955,0,0,1,4,955,0,0,955,1,0,1,0,3,1,3,6,5,0,1,1966.0,2,1,386,4,4,2,0,0,0,0,0,0,1,2007,8,4,127000
51,52,50,4,52.0,6240,1,3,3,0,4,0,3,2,2,0,0,6,6,1934,1950,1,1,13,14,2,0.0,3,4,2,3,3,3,5,0,5,0,816,816,0,4,1,4,816,0,360,1176,0,0,1,0,3,1,3,6,5,1,5,1985.0,2,2,528,4,4,2,112,0,0,0,0,400,9,2006,8,4,114500
52,53,90,4,110.0,8472,0,1,0,0,0,1,9,8,2,2,2,5,5,1963,1963,1,1,13,14,2,0.0,1,4,1,2,3,1,3,104,2,712,0,816,0,4,0,4,816,0,0,816,1,0,1,0,2,1,3,5,5,0,4,1963.0,2,2,516,4,4,2,106,0,0,0,0,0,5,2010,8,4,110000
53,54,20,3,68.0,50271,1,0,2,0,4,0,24,2,2,0,2,9,5,1981,1987,1,6,14,15,2,0.0,2,4,1,0,3,1,2,1810,5,0,32,1842,0,2,1,4,1842,0,0,1842,2,0,0,1,0,1,2,5,5,1,1,1981.0,0,3,894,4,4,2,857,72,0,0,0,0,11,2006,8,4,385000
54,55,80,3,60.0,7134,1,3,0,0,4,1,12,2,2,0,7,5,5,1955,1955,1,1,8,8,2,0.0,3,4,1,3,3,3,0,384,5,0,0,384,0,4,1,4,1360,0,0,1360,0,0,1,0,3,1,3,6,2,1,5,1962.0,2,2,572,4,4,2,0,50,0,0,0,0,2,2007,8,4,130000
55,56,20,3,100.0,10175,1,0,3,0,4,0,12,2,2,0,2,6,5,1964,1964,1,1,6,10,1,272.0,3,4,1,3,3,3,1,490,5,0,935,1425,0,2,1,4,1425,0,0,1425,0,0,2,0,3,1,3,7,5,1,1,1964.0,1,2,576,4,4,2,0,0,0,407,0,0,7,2008,8,4,180500
56,57,160,1,24.0,2645,1,3,3,0,4,0,21,2,2,3,5,8,5,1999,2000,1,1,8,8,1,456.0,2,4,2,2,3,3,2,649,5,0,321,970,0,0,1,4,983,756,0,1739,1,0,2,1,3,1,2,7,5,0,1,1999.0,0,2,480,4,4,2,115,0,0,0,0,0,8,2009,8,0,172500
57,58,60,3,89.0,11645,1,0,3,0,0,0,5,2,2,0,5,7,5,2004,2004,1,1,12,13,2,0.0,2,4,2,2,3,3,5,0,5,0,860,860,0,0,1,4,860,860,0,1720,0,0,2,1,3,1,2,7,5,0,1,2004.0,1,2,565,4,4,2,0,70,0,0,0,0,8,2006,8,4,196500
58,59,60,3,66.0,13682,1,1,1,0,1,0,22,2,2,0,5,10,5,2006,2006,3,1,12,13,1,1031.0,0,4,2,0,3,1,5,0,5,0,1410,1410,0,0,1,4,1426,1519,0,2945,0,0,3,1,3,1,2,10,5,1,3,2006.0,0,3,641,4,4,2,192,0,37,0,0,0,10,2006,6,5,438780
59,60,20,3,60.0,7200,1,3,0,0,4,0,5,2,2,0,2,5,7,1972,1972,1,1,6,6,2,0.0,3,4,1,3,3,0,0,632,5,0,148,780,0,0,1,4,780,0,0,780,0,0,1,0,2,1,3,4,5,0,5,1973.0,2,1,352,4,4,2,196,0,0,0,0,0,1,2008,8,4,124900
60,61,20,3,63.0,13072,1,3,3,0,4,0,20,5,2,0,2,6,5,2004,2004,1,1,12,13,2,0.0,3,4,2,2,3,3,0,941,5,0,217,1158,0,0,1,4,1158,0,0,1158,1,0,1,1,3,1,2,5,5,0,5,2006.0,2,2,576,4,4,2,0,50,0,0,0,0,5,2006,6,5,158000
61,62,75,4,60.0,7200,1,3,3,0,4,0,9,2,2,0,4,5,7,1920,1996,1,1,8,8,2,0.0,3,4,0,3,0,3,5,0,5,0,530,530,0,4,0,4,581,530,0,1111,0,0,1,0,3,1,1,6,5,0,5,1935.0,2,1,288,4,4,0,0,0,144,0,0,0,3,2007,8,4,101000
62,63,120,3,44.0,6442,1,0,3,0,4,0,16,2,2,4,2,8,5,2006,2006,1,1,12,13,3,178.0,2,4,2,2,1,2,2,24,5,0,1346,1370,0,0,1,4,1370,0,0,1370,0,0,2,0,2,1,2,6,5,1,1,2006.0,1,2,484,4,4,2,120,49,0,0,0,0,10,2007,8,4,202500
63,64,70,4,50.0,10300,1,0,0,0,4,0,17,6,1,0,5,7,6,1921,1950,1,1,11,12,2,0.0,3,4,0,3,3,3,5,0,5,0,576,576,0,2,1,4,902,808,0,1710,0,0,2,0,3,1,3,9,5,0,5,1990.0,2,2,480,4,4,2,12,11,64,0,0,0,4,2010,8,4,140000
65,66,60,3,76.0,9591,1,3,3,0,4,0,16,2,2,0,5,8,5,2004,2005,1,1,12,13,1,344.0,2,4,2,0,3,0,5,0,5,0,1143,1143,0,0,1,4,1143,1330,0,2473,0,0,2,1,4,1,2,9,5,1,3,2004.0,1,3,852,4,4,2,192,151,0,0,0,0,10,2007,8,4,317000
67,68,20,3,72.0,10665,1,0,3,0,4,0,5,2,2,0,2,7,5,2003,2003,1,1,12,13,1,167.0,2,4,2,2,3,0,2,1013,5,0,440,1453,0,0,1,4,1479,0,0,1479,1,0,2,0,3,1,2,7,5,0,1,2003.0,1,2,558,4,4,2,144,29,0,0,0,0,6,2007,8,4,226000
68,69,30,4,47.0,4608,1,3,3,0,0,0,17,0,2,0,2,4,6,1945,1950,1,1,8,8,2,0.0,3,2,1,3,3,3,5,0,5,0,747,747,0,4,1,4,747,0,0,747,0,0,1,0,2,1,3,4,5,0,1,1945.0,2,1,220,4,4,2,0,0,0,0,0,0,6,2010,8,4,80000
69,70,50,3,81.0,15593,1,3,3,0,0,0,4,2,2,0,0,7,4,1953,1953,1,1,3,0,2,0.0,2,4,1,3,3,3,1,603,5,0,701,1304,1,4,1,4,1304,983,0,2287,0,0,2,0,3,1,3,7,5,1,1,1953.0,0,2,667,4,4,2,0,21,114,0,0,0,7,2006,8,4,225000
70,71,20,3,95.0,13651,1,0,3,0,4,0,12,2,2,0,2,7,6,1973,1973,1,1,9,10,1,1115.0,3,2,1,2,3,1,0,1880,5,0,343,2223,0,0,1,4,2223,0,0,2223,1,0,2,0,3,1,3,8,5,2,1,1973.0,0,2,516,4,4,2,300,0,0,0,0,0,2,2007,8,4,244000
71,72,20,3,69.0,7599,1,3,3,0,0,0,11,2,2,0,2,4,6,1982,2006,1,1,6,10,2,0.0,3,4,1,3,3,3,0,565,5,0,280,845,0,4,1,4,845,0,0,845,1,0,1,0,2,1,3,4,5,0,5,1987.0,2,2,360,4,4,2,0,0,0,0,0,0,6,2007,8,4,129500
72,73,60,3,74.0,10141,1,0,3,0,0,0,8,2,2,0,5,7,5,1998,1998,1,1,12,13,1,40.0,3,4,2,2,3,3,5,0,5,0,832,832,0,2,1,4,885,833,0,1718,0,0,2,1,3,1,3,7,5,1,1,1998.0,0,2,427,4,4,2,0,94,0,0,291,0,12,2009,8,4,185000
73,74,20,3,85.0,10200,1,3,3,0,4,0,12,2,2,0,2,5,7,1954,2003,1,1,13,14,1,104.0,3,4,1,3,3,3,0,320,1,362,404,1086,0,2,1,4,1086,0,0,1086,1,0,1,0,3,1,3,6,5,0,1,1989.0,2,2,490,4,4,2,0,0,0,0,0,0,5,2010,8,4,144900
74,75,50,4,60.0,5790,1,3,3,0,0,0,17,2,2,0,5,3,6,1915,1950,2,1,12,13,2,0.0,2,2,1,1,3,3,5,0,5,0,840,840,0,2,0,4,840,765,0,1605,0,0,2,0,3,2,3,8,5,0,5,1915.0,2,1,379,4,4,2,0,0,202,0,0,0,5,2010,8,4,107400
75,76,180,4,21.0,1596,1,3,3,0,4,0,10,2,2,3,7,4,5,1973,1973,1,1,5,5,2,0.0,3,4,1,2,3,1,2,462,5,0,0,462,0,4,1,4,526,462,0,988,1,0,1,0,2,1,3,5,5,0,3,1973.0,2,1,297,4,4,2,120,101,0,0,0,0,11,2009,8,4,91000
77,78,50,4,50.0,8635,1,3,3,0,4,0,3,2,2,0,0,5,5,1948,2001,1,1,13,14,2,0.0,3,4,1,3,3,3,1,336,2,41,295,672,0,4,1,4,1072,213,0,1285,1,0,1,0,2,1,3,6,2,0,5,1948.0,2,1,240,4,4,2,0,0,0,0,0,0,1,2008,8,4,127000
78,79,90,3,72.0,10778,1,3,3,0,4,0,19,2,2,2,2,4,5,1968,1968,3,1,6,6,2,0.0,3,4,1,3,3,3,5,0,5,0,1768,1768,0,4,0,4,1768,0,0,1768,0,0,2,0,4,2,3,8,5,0,6,1978.5430346051464,3,0,0,5,5,2,0,0,0,0,0,0,4,2010,8,4,136500
79,80,50,4,60.0,10440,1,3,3,0,0,0,17,2,2,0,5,5,6,1910,1981,1,1,13,14,2,0.0,3,4,2,3,3,3,5,0,5,0,440,440,0,2,1,4,682,548,0,1230,0,0,1,1,2,1,3,5,5,0,5,1966.0,2,2,440,4,4,2,74,0,128,0,0,0,5,2009,8,4,110000
80,81,60,3,100.0,13000,1,3,3,0,0,0,12,2,2,0,5,6,6,1968,1968,1,1,12,13,1,576.0,3,2,1,2,3,3,4,448,5,0,448,896,0,4,1,4,1182,960,0,2142,0,0,2,1,4,1,2,8,5,1,1,1968.0,0,1,509,4,4,2,0,72,0,0,252,0,6,2009,8,4,193500
81,82,120,4,32.0,4500,1,3,3,0,2,0,11,2,2,4,2,6,5,1998,1998,3,1,12,13,1,443.0,3,2,2,0,1,3,2,1201,5,0,36,1237,0,0,1,4,1337,0,0,1337,1,0,2,0,2,1,3,5,5,0,1,1998.0,0,2,405,4,4,2,0,199,0,0,0,0,3,2006,8,4,153500
82,83,20,3,78.0,10206,1,3,3,0,4,0,21,2,2,0,2,8,5,2007,2007,1,1,12,13,3,468.0,3,4,2,2,3,3,2,33,5,0,1530,1563,0,0,1,4,1563,0,0,1563,0,0,2,0,3,1,2,6,5,1,1,2007.0,1,3,758,4,4,2,144,99,0,0,0,0,10,2008,8,4,245000
83,84,20,3,80.0,8892,1,0,3,0,4,0,12,2,2,0,2,5,5,1960,1960,1,1,8,8,0,66.0,3,4,1,3,3,3,5,0,5,0,1065,1065,0,2,1,4,1065,0,0,1065,0,0,1,1,3,1,3,6,5,0,5,1974.0,2,2,461,4,4,2,74,0,0,0,0,0,7,2007,0,4,126500
85,86,60,3,121.0,16059,1,3,3,0,0,0,15,2,2,0,5,8,5,1991,1992,3,1,6,6,1,284.0,2,4,1,2,3,3,5,0,5,0,1288,1288,0,0,1,4,1301,1116,0,2417,0,0,2,1,4,1,2,9,5,1,1,1991.0,2,2,462,4,4,2,127,82,0,0,0,0,4,2006,8,4,260000
86,87,60,3,122.0,11911,1,1,3,0,4,0,8,2,2,0,5,6,5,2005,2005,1,1,12,13,2,0.0,2,4,2,2,3,0,5,0,5,0,684,684,0,0,1,4,684,876,0,1560,0,0,2,1,3,1,2,6,5,1,3,2005.0,0,2,400,4,4,2,100,38,0,0,0,0,3,2009,8,4,174000
87,88,160,1,40.0,3951,1,3,3,0,0,0,21,2,2,4,5,6,5,2009,2009,1,1,12,13,3,76.0,2,4,2,2,3,0,5,0,5,0,612,612,0,0,1,4,612,612,0,1224,0,0,2,1,2,1,2,4,5,0,5,2009.0,1,2,528,4,4,2,0,234,0,0,0,0,6,2009,6,5,164500
88,89,50,0,105.0,8470,1,0,3,0,0,0,9,1,1,0,0,3,2,1915,1982,3,1,9,10,2,0.0,1,1,1,3,0,3,5,0,5,0,1013,1013,0,4,0,4,1013,0,513,1526,0,0,1,0,2,1,1,6,5,0,6,1978.5430346051464,3,0,0,5,5,0,0,0,156,0,0,0,10,2009,3,0,85000
89,90,20,3,60.0,8070,1,3,3,0,4,0,5,2,2,0,2,4,5,1994,1995,1,1,12,13,2,0.0,3,4,2,2,3,3,2,588,5,0,402,990,0,0,1,4,990,0,0,990,1,0,1,0,3,1,3,5,5,0,6,1978.5430346051464,3,0,0,5,5,2,0,0,0,0,0,0,8,2007,8,4,123600
